# Format: name,difficultyNumber,goldReward,tier,description,lootItem1:lootItem2:lootItem3
# TIER 1 - Lahky enemaci (potrebna 8-10 na kill)
Giant Rat,8,5,1,A large diseased rat with glowing red eyes.,Rusty Dagger:Gold Coins
Goblin Scout,9,8,1,A small green goblin armed with a crude club.,Rusty Dagger:Short Sword
Skeleton Warrior,10,10,1,An animated skeleton wielding rusty weapons.,Short Sword:Leather Vest
Wild Wolf,9,7,1,A hungry wolf with sharp fangs.,Leather Vest:Gold Coins

# TIER 2 - Stredny enemaci (potrebna 12-14 na kill)
Orc Marauder,12,20,2,A brutish orc warrior covered in battle scars.,Battle Axe:Chainmail
Dark Mage,13,25,2,A robed figure crackling with dark magic.,Enchanted Blade:Strength Potion
Cursed Knight,14,30,2,A fallen knight bound by dark magic.,Battle Axe:Steel Armor
Giant Spider,12,18,2,A massive arachnid with venomous fangs.,Short Sword:Silver Goblet
Bandit Leader,13,22,2,A cunning thief who leads a band of outlaws.,Battle Axe:Silver Goblet

# TIER 3 - Tazky enemaci (potrebna 16-18 na kill)
Troll Berserker,16,40,3,A massive troll with incredible regenerative powers.,Enchanted Blade:Steel Armor:Ancient Gem
Vampire Lord,17,50,3,An ancient vampire with hypnotic powers.,Legendary Sword:Dragon Scale Armor
Stone Golem,18,45,3,A massive construct of living stone.,Enchanted Blade:Steel Armor
Shadow Assassin,16,42,3,A deadly killer who strikes from the shadows.,Enchanted Blade:Hero's Elixir

# TIER 4 - Boss (potrebna 20+ na kill)
Ancient Dragon,20,100,4,A legendary dragon with scales like steel.,Legendary Sword:Dragon Scale Armor:Dragon's Hoard
Demon King,22,120,4,The ruler of the underworld wreathed in flames.,Legendary Sword:Dragon Scale Armor:Dragon's Hoard
Lich Overlord,21,110,4,An undead sorcerer of immense power.,Legendary Sword:Dragon Scale Armor:Dragon's Hoard
